freq,unit,icha11_hc,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,MIO_PPS,TOT_HC,MT	: 	: 	: 	947.51 	1047.99 	1112.50 	1204.12 	1274.81 	1490.19 	1574.23 p	1777.93 p	: 
A,MIO_PPS,TOT_HC,NL	57916.22 	59854.57 	60695.34 	60882.99 	61122.12 	61429.46 	63372.37 	65879.20 	68192.12 	74412.23 	80080.06 	: 
A,MIO_PPS,TOT_HC,NO	18681.40 	19529.74 	20440.95 	21449.86 	21760.32 	21876.48 	23164.16 	24060.10 	24581.54 	25187.80 	26799.33 	: 
A,MIO_PPS,TOT_HC,PL	: 	: 	46621.35 	46914.39 	50142.74 	52365.92 	55154.04 	55789.42 	60417.96 	61002.40 p	65378.19 p	74975.58 p
A,MIO_PPS,TOT_HC,PT	19708.50 	19014.56 	19208.97 	19308.93 	19991.62 	20575.60 	21078.67 	22476.80 	23485.43 	24000.29 	27235.13 	28857.14 p
A,MIO_PPS,TOT_HC,RO	12752.42 	13327.61 	15172.54 	15261.03 	15778.47 	17446.13 	19500.61 	22534.51 	25395.43 	27757.33 	31779.90 	: 
A,MIO_PPS,TOT_HC,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10022.06 	: 
A,MIO_PPS,TOT_HC,SE	32009.69 	33276.41 	33323.66 	34513.08 	35910.02 	36016.13 	36962.30 	38454.45 	39371.13 	40581.63 	43726.71 	45067.01 p
A,MIO_PPS,TOT_HC,SI	: 	: 	: 	3769.89 	3897.67 	4002.53 	4121.39 	4404.05 	4774.14 	5124.13 	5624.89 	5805.81 p
A,MIO_PPS,TOT_HC,SK	: 	8472.27 	8552.17 	7968.37 	8178.68 	7840.59 	7561.82 	7630.91 	8283.97 	8265.99 	9491.08 	: 
A,MIO_PPS,TOT_HC,UK	: 	: 	173566.61 	178609.47 	182701.01 	185361.04 	190462.02 	196064.01 	204649.89 	: 	: 	: 
A,NAC_HAB,TOT_HC,AT	3705.34 	3855.27 	3928.93 	4041.59 	4129.77 	4237.37 	4359.69 	4510.08 	4690.47 	4865.28 	5485.57 	5619.83 p
A,NAC_HAB,TOT_HC,BA	: 	: 	659.20 	676.88 	728.29 	787.41 	800.10 	850.55 	: 	: 	: 	: 
A,NAC_HAB,TOT_HC,BE	3529.81 	3651.44 	3723.62 	3814.33 	3990.81 	4096.70 	4224.91 	4372.81 	4497.53 	4462.34 	4789.57 	: 
A,NAC_HAB,TOT_HC,BG	784.20 	852.84 	808.56 	894.96 	922.62 	997.90 	1087.82 	1147.17 	1223.54 	1473.98 	1729.28 	: 
A,NAC_HAB,TOT_HC,CH	8071.91 	8165.00 	8399.15 	8476.46 	8693.57 	8896.78 	8946.05 	8976.81 	9249.01 	9434.66 	9919.41 b	: 
A,NAC_HAB,TOT_HC,CY	1500.98 	1474.97 	1449.97 	1421.46 	1438.18 	1485.39 	1564.91 	1700.49 	1856.90 	2063.70 	2515.24 	: 
A,NAC_HAB,TOT_HC,CZ	29251.97 	29660.81 	29635.36 	31430.88 	32319.48 	33801.06 	35604.48 	38025.65 	41262.54 	49170.73 	55173.78 	: 
A,NAC_HAB,TOT_HC,DE	3616.62 	3704.79 	3834.33 	3985.74 	4145.65 	4279.41 	4480.82 	4660.36 	4897.05 	5197.59 	5599.48 	5839.81 p
A,NAC_HAB,TOT_HC,DK	34503.22 	35659.31 	35498.10 	36190.81 	37062.32 	37724.18 	38413.09 	39272.71 	40351.08 	42084.69 	46280.56 	45011.82 p
A,NAC_HAB,TOT_HC,EE	763.63 	825.61 	901.15 	970.27 	1041.66 	1107.80 	1193.55 	1312.58 	1426.42 	1565.67 	1769.74 	1885.47 p
A,NAC_HAB,TOT_HC,EL	1683.11 	1522.08 	1384.25 	1284.05 	1339.78 	1368.10 	1338.15 	1358.49 	1401.97 	1469.31 	1576.75 	: 
A,NAC_HAB,TOT_HC,ES	2086.43 	2018.02 	1984.42 	2018.28 	2117.44 	2145.04 	2231.74 	2314.42 	2416.70 	2536.34 	2733.59 	: 
A,NAC_HAB,TOT_HC,FI	3389.10 	3559.49 	3683.49 	3705.37 	3720.86 b	3712.03 	3749.64 	3827.56 	3984.05 	4146.64 	4590.30 p	: 
A,NAC_HAB,TOT_HC,FR	3535.02 	3606.13 	3668.40 b	3740.94 	3781.92 	3840.71 	3897.98 	3944.10 	4011.19 	4147.96 	4542.27 	: 
A,NAC_HAB,TOT_HC,HR	: 	: 	675.04 	695.54 	727.10 	762.91 	798.21 	856.94 	916.23 	963.41 	1194.12 	: 
A,NAC_HAB,TOT_HC,HU	214108.41 	216608.44 	221951.21 	234292.19 	243474.20 	257798.50 	270601.57 	292033.43 	306487.90 	362333.32 	419726.48 	465516.71 p
A,NAC_HAB,TOT_HC,IE	3976.15 	4046.39 	3988.79 	3984.62 	4102.94 	4243.77 	4413.28 	4614.55 	4849.96 	5316.64 	5688.64 	5950.63 p
A,NAC_HAB,TOT_HC,IS	453843.62 	470684.34 	497492.89 	524409.16 	563700.45 	606383.79 	635587.48 	675564.88 	719538.94 	765796.79 	847901.44 	: 
A,NAC_HAB,TOT_HC,IT	: 	2396.32 	2349.61 	2374.06 	2414.15 	2440.53 	2489.35 	2545.28 	2603.82 b	2689.82 	2837.00 	2915.94 p
A,NAC_HAB,TOT_HC,LI	: 	: 	9210.06 	9229.01 	9253.86 	9536.42 	9538.26 	9491.74 	9595.24 	9518.52 	10019.54 	: 
A,NAC_HAB,TOT_HC,LT	670.97 	701.81 	725.74 	772.61 	834.41 	899.98 	966.21 	1060.96 	1223.82 	1333.76 	1568.36 	: 
A,NAC_HAB,TOT_HC,LU	5089.73 	4639.11 b	4730.53 	4869.32 	4829.75 	4897.36 	5009.21 	5221.36 	5502.99 	5900.44 	6402.14 	6527.18 p
A,NAC_HAB,TOT_HC,LV	: 	: 	611.35 	647.40 	702.31 	794.11 	828.80 	936.20 	1060.24 	1154.22 	1612.14 	: 
A,NAC_HAB,TOT_HC,MT	: 	: 	: 	1829.54 	1998.56 	2075.55 	2226.88 	2289.79 	2574.76 	2747.22 p	3064.16 p	: 
A,NAC_HAB,TOT_HC,NL	3986.98 	4107.20 	4159.68 	4207.77 	4205.21 	4281.66 	4355.42 	4500.62 	4753.39 	5119.11 	5510.68 	: 
A,NAC_HAB,TOT_HC,NO	49552.93 	51843.62 	53989.44 	57133.30 	60749.83 	62686.56 	64421.08 	67064.50 	70205.37 	73512.01 	78464.66 	: 
A,NAC_HAB,TOT_HC,PL	: 	: 	2776.93 	2826.97 	3004.82 	3189.53 	3437.43 	3535.10 	3894.03 	4007.31 p	4488.25 p	5582.54 p
A,NAC_HAB,TOT_HC,PT	1623.05 	1545.16 	1533.34 	1554.48 	1616.41 	1696.74 	1770.29 	1878.02 	1982.76 	2053.99 	2308.06 	2441.73 p
A,NAC_HAB,TOT_HC,RO	1304.31 	1396.58 	1651.19 	1689.21 	1777.42 	1939.33 	2255.83 	2717.52 	3137.96 	3447.64 	4023.20 	: 
A,NAC_HAB,TOT_HC,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	91859.10 	: 
A,NAC_HAB,TOT_HC,SE	41095.06 	42211.39 	43421.10 	45082.20 	46974.21 	48285.08 	49595.94 	51917.14 	53214.61 	55152.29 	58977.55 	60279.35 p
A,NAC_HAB,TOT_HC,SI	: 	: 	: 	1551.74 	1603.66 	1660.39 	1703.65 	1830.93 	1975.17 	2109.68 	2351.11 	2470.93 p
A,NAC_HAB,TOT_HC,SK	: 	1026.35 	1031.40 	970.05 	998.98 	1043.40 	1051.83 	1099.99 	1198.03 	1219.91 	1427.52 	: 
A,NAC_HAB,TOT_HC,UK	: 	: 	2769.45 	2869.51 	2918.76 	3001.61 	3071.52 	3191.67 	3369.35 	: 	: 	: 
A,PC_CHE,TOT_HC,AT	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 p
A,PC_CHE,TOT_HC,BA	: 	: 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	: 
A,PC_CHE,TOT_HC,BE	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	: 
A,PC_CHE,TOT_HC,BG	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	: 
A,PC_CHE,TOT_HC,CH	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 b	: 
A,PC_CHE,TOT_HC,CY	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	: 
A,PC_CHE,TOT_HC,CZ	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	: 
A,PC_CHE,TOT_HC,DE	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 p
A,PC_CHE,TOT_HC,DK	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 p
A,PC_CHE,TOT_HC,EA19	: 	: 	: 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 p	100.00 p	: 
A,PC_CHE,TOT_HC,EA20	: 	: 	: 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 p	100.00 p	: 
A,PC_CHE,TOT_HC,EE	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 p
A,PC_CHE,TOT_HC,EL	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	: 
A,PC_CHE,TOT_HC,ES	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	: 
A,PC_CHE,TOT_HC,EU27_2020	: 	: 	: 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 p	100.00 p	: 
A,PC_CHE,TOT_HC,FI	100.00 	100.00 	100.00 	100.00 	100.00 b	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 p	: 
A,PC_CHE,TOT_HC,FR	100.00 	100.00 	100.00 b	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	: 
A,PC_CHE,TOT_HC,HR	: 	: 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	: 
A,PC_CHE,TOT_HC,HU	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 p
A,PC_CHE,TOT_HC,IE	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 p
A,PC_CHE,TOT_HC,IS	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	: 
A,PC_CHE,TOT_HC,IT	: 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 b	100.00 	100.00 	100.00 p
A,PC_CHE,TOT_HC,LI	: 	: 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	: 
A,PC_CHE,TOT_HC,LT	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	: 
A,PC_CHE,TOT_HC,LU	100.00 	100.00 b	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 p
A,PC_CHE,TOT_HC,LV	: 	: 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	: 
A,PC_CHE,TOT_HC,MT	: 	: 	: 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 p	100.00 p	: 
A,PC_CHE,TOT_HC,NL	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	: 
A,PC_CHE,TOT_HC,NO	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	: 
A,PC_CHE,TOT_HC,PL	: 	: 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 p	100.00 p	100.00 p
A,PC_CHE,TOT_HC,PT	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 p
A,PC_CHE,TOT_HC,RO	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	: 
A,PC_CHE,TOT_HC,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.00 	: 
A,PC_CHE,TOT_HC,SE	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 p
A,PC_CHE,TOT_HC,SI	: 	: 	: 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 p
A,PC_CHE,TOT_HC,SK	: 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	: 
A,PC_CHE,TOT_HC,UK	: 	: 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	: 	: 	: 
A,PC_GDP,TOT_HC,AT	10.03 	10.20 	10.29 	10.37 	10.37 	10.35 	10.38 	10.35 	10.49 	11.39 	12.12 	11.36 p
A,PC_GDP,TOT_HC,BA	: 	: 	9.44 	9.47 	9.24 	9.14 	8.82 	8.76 	8.93 	9.70 	9.56 	: 
A,PC_GDP,TOT_HC,BE	10.36 	10.50 	10.58 	10.61 	10.80 	10.79 	10.80 	10.86 	10.79 	11.18 	10.93 	: 
A,PC_GDP,TOT_HC,BG	7.10 	7.54 	7.14 	7.68 	7.39 	7.46 	7.50 	7.33 	7.09 	8.48 	8.56 	: 
A,PC_GDP,TOT_HC,CH	10.05 	10.14 	10.38 	10.43 	10.78 	10.99 	11.05 	10.77 	11.06 	11.70 	11.62 b	: 
A,PC_GDP,TOT_HC,CY	6.43 	6.54 	6.93 	6.93 	6.79 	6.65 	6.62 	6.83 	7.07 	8.33 	9.08 	: 
A,PC_GDP,TOT_HC,CZ	7.56 	7.62 	7.52 	7.61 	7.37 	7.45 	7.38 	7.47 	7.60 	9.21 	9.49 	: 
A,PC_GDP,TOT_HC,DE	10.78 	10.85 	11.00 	11.03 	11.19 	11.24 	11.34 	11.48 	11.71 	12.70 	12.88 	12.62 p
A,PC_GDP,TOT_HC,DK	10.41 	10.52 	10.33 	10.31 	10.34 	10.25 	10.10 	10.10 	10.15 	10.57 	10.63 	9.38 p
A,PC_GDP,TOT_HC,EA19	: 	: 	: 	10.27 	10.23 	10.22 	10.17 	10.17 	10.25 	11.24 p	11.25 p	: 
A,PC_GDP,TOT_HC,EA20	: 	: 	: 	10.25 	10.22 	10.20 	10.16 	10.16 	10.23 	11.23 p	11.24 p	: 
A,PC_GDP,TOT_HC,EE	6.08 	6.10 	6.28 	6.36 	6.64 	6.70 	6.60 	6.69 	6.77 	7.59 	7.56 	7.06 p
A,PC_GDP,TOT_HC,EL	9.19 	8.92 	8.44 	7.89 	8.22 	8.45 	8.14 	8.12 	8.20 	9.53 	9.18 	: 
A,PC_GDP,TOT_HC,ES	9.17 	9.15 	9.06 	9.08 	9.12 	8.95 	8.94 	9.00 	9.15 	10.74 	10.60 	: 
A,PC_GDP,TOT_HC,EU27_2020	: 	: 	: 	10.00 	9.96 	9.96 	9.90 	9.88 	9.94 	10.86 p	10.87 p	: 
A,PC_GDP,TOT_HC,FI	9.22 	9.59 	9.81 	9.78 	9.65 b	9.38 	9.13 	9.04 	9.17 	9.63 	10.14 p	: 
A,PC_GDP,TOT_HC,FR	11.18 	11.30 	11.40 b	11.54 	11.45 	11.47 	11.35 	11.21 	11.09 	12.09 	12.30 	: 
A,PC_GDP,TOT_HC,HR	: 	: 	6.41 	6.60 	6.67 	6.71 	6.64 	6.73 	6.79 	7.71 	8.07 	: 
A,PC_GDP,TOT_HC,HU	7.48 	7.41 	7.23 	7.05 	6.85 	6.99 	6.74 	6.58 	6.28 	7.30 	7.38 	6.79 p
A,PC_GDP,TOT_HC,IE	10.60 	10.62 	10.29 	9.49 	7.32 	7.48 	7.11 	6.86 	6.72 	7.06 	6.60 	6.03 p
A,PC_GDP,TOT_HC,IS	8.20 	8.18 	8.18 	8.23 	8.07 	8.10 	8.26 	8.38 	8.57 	9.61 	9.72 	: 
A,PC_GDP,TOT_HC,IT	: 	8.78 	8.78 	8.87 	8.86 	8.73 	8.68 	8.68 	8.66 b	9.62 	9.21 	8.83 p
A,PC_GDP,TOT_HC,LI	: 	: 	5.75 	5.64 	5.75 	5.85 	5.68 	5.55 	5.78 	6.16 	5.98 	: 
A,PC_GDP,TOT_HC,LT	6.49 	6.28 	6.13 	6.19 	6.49 	6.64 	6.46 	6.53 	6.98 	7.47 	7.78 	: 
A,PC_GDP,TOT_HC,LU	5.95 	5.29 b	5.24 	5.23 	5.08 	5.07 	5.14 	5.28 	5.46 	5.76 	5.66 	5.50 p
A,PC_GDP,TOT_HC,LV	: 	: 	5.41 	5.46 	5.65 	6.13 	5.97 	6.19 	6.64 	7.29 	9.11 	: 
A,PC_GDP,TOT_HC,MT	: 	: 	: 	9.09 	8.90 	8.97 	8.73 	8.51 	9.08 	10.60 p	10.39 p	: 
A,PC_GDP,TOT_HC,NL	10.23 	10.54 	10.58 	10.57 	10.32 	10.29 	10.11 	10.02 	10.14 	11.21 	11.10 	: 
A,PC_GDP,TOT_HC,NO	8.73 	8.72 	8.87 	9.28 	10.07 	10.53 	10.23 	9.96 	10.44 	11.42 	10.08 	: 
A,PC_GDP,TOT_HC,PL	: 	: 	6.48 	6.32 	6.35 	6.53 	6.58 	6.31 	6.46 	6.50 p	6.44 p	6.70 p
A,PC_GDP,TOT_HC,PT	9.73 	9.65 	9.40 	9.34 	9.32 	9.39 	9.31 	9.41 	9.51 	10.55 	11.07 	10.49 p
A,PC_GDP,TOT_HC,RO	4.48 	4.51 	5.22 	5.03 	4.94 	5.08 	5.19 	5.52 	5.71 	6.23 	6.47 	: 
A,PC_GDP,TOT_HC,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.01 	: 
A,PC_GDP,TOT_HC,SE	10.42 	10.74 	10.90 	10.95 	10.80 	10.85 	10.79 	10.94 	10.83 	11.33 	11.20 	10.57 p
A,PC_GDP,TOT_HC,SI	: 	: 	: 	8.50 	8.52 	8.48 	8.18 	8.28 	8.49 	9.43 	9.48 	9.15 p
A,PC_GDP,TOT_HC,SK	: 	7.54 	7.50 	6.88 	6.76 	6.97 	6.76 	6.67 	6.92 	7.13 	7.76 	: 
A,PC_GDP,TOT_HC,UK	: 	: 	9.98 	9.95 	9.90 	9.87 	9.81 	9.90 	10.15 	: 	: 	: 
A,PPS_HAB,TOT_HC,AT	3300.68 	3427.46 	3496.82 	3554.24 	3620.19 	3677.64 	3742.57 	3848.45 	3965.73 	4099.50 	4660.52 	4838.80 p
A,PPS_HAB,TOT_HC,BA	: 	: 	667.08 	686.78 	744.87 	813.22 	807.27 	848.46 	: 	: 	: 	: 
A,PPS_HAB,TOT_HC,BE	3079.41 	3168.80 	3258.62 	3361.38 	3528.22 	3548.68 	3621.59 	3731.61 	3838.86 	3861.53 	4165.61 	: 
A,PPS_HAB,TOT_HC,BG	864.12 	938.42 	909.19 	1030.19 	1052.06 	1131.38 	1191.83 	1232.19 	1265.02 	1483.29 	1707.02 	: 
A,PPS_HAB,TOT_HC,CH	3972.00 	4081.11 	4271.57 	4378.22 	4583.48 	4634.90 	4589.95 	4603.75 	4752.90 	4823.60 	5169.86 b	: 
A,PPS_HAB,TOT_HC,CY	1536.49 	1486.63 	1479.57 	1483.76 	1527.09 	1619.14 	1700.59 	1823.77 	1977.78 	2202.62 	2684.75 	: 
A,PPS_HAB,TOT_HC,CZ	1692.17 	1706.11 	1749.30 	1880.08 	1908.32 	1980.82 	2090.88 	2181.73 	2319.83 	2680.87 	2991.73 	: 
A,PPS_HAB,TOT_HC,DE	3468.95 	3544.85 	3632.44 	3770.12 	3880.60 	4016.12 	4208.09 	4386.51 	4547.99 	4815.52 	5156.30 	5329.46 p
A,PPS_HAB,TOT_HC,DK	3246.72 	3311.69 	3319.75 	3363.40 	3461.44 	3469.11 	3600.07 	3700.75 	3763.99 	3928.49 	4322.98 	4184.85 p
A,PPS_HAB,TOT_HC,EA19	: 	: 	: 	2922.86 	3001.12 	3069.39 	3166.41 	3257.95 	3380.64 	3533.06 p	3832.43 p	: 
A,PPS_HAB,TOT_HC,EA20	: 	: 	: 	2902.79 	2980.99 	3049.54 	3146.49 	3238.01 	3360.42 	3512.56 p	3812.36 p	: 
A,PPS_HAB,TOT_HC,EE	1113.70 	1182.52 	1252.82 	1332.37 	1420.98 	1484.03 	1550.07 	1648.63 	1739.20 	1923.68 	2115.88 	2077.07 p
A,PPS_HAB,TOT_HC,EL	1739.22 	1602.70 	1531.52 	1471.27 	1554.65 	1598.50 	1584.83 	1614.20 	1651.87 	1725.23 	1873.15 	: 
A,PPS_HAB,TOT_HC,ES	2076.78 	2037.90 	2027.59 	2090.60 	2211.23 	2228.76 	2336.17 	2390.11 	2506.69 	2558.38 	2769.30 	: 
A,PPS_HAB,TOT_HC,EU27_2020	: 	: 	: 	2658.83 	2737.72 	2806.46 	2902.15 	2994.62 	3116.01 	3271.35 p	3562.06 p	: 
A,PPS_HAB,TOT_HC,FI	2733.35 	2828.25 	2885.19 	2893.94 	2923.74 b	2904.68 	2968.04 	3019.92 	3100.70 	3232.74 	3547.48 p	: 
A,PPS_HAB,TOT_HC,FR	3161.32 	3211.65 	3331.37 b	3386.29 	3420.02 	3483.89 	3523.69 	3554.65 	3658.07 	3812.22 	4199.97 	: 
A,PPS_HAB,TOT_HC,HR	: 	: 	1010.18 	1054.97 	1115.13 	1185.91 	1241.09 	1312.57 	1388.52 	1458.91 	1785.71 	: 
A,PPS_HAB,TOT_HC,HU	1333.54 	1319.58 	1336.19 	1363.47 	1384.98 	1415.46 	1407.24 	1469.28 	1482.52 	1690.31 	1865.03 	1911.24 p
A,PPS_HAB,TOT_HC,IE	3181.38 	3248.81 	3145.33 	3062.29 	3155.65 	3223.01 	3297.13 	3401.00 	3490.21 	3661.37 	3882.69 	3996.66 p
A,PPS_HAB,TOT_HC,IS	2516.21 	2539.02 	2565.97 	2633.38 	2733.98 	2783.31 	2894.76 	2953.82 	3059.90 	3224.05 	3495.29 	: 
A,PPS_HAB,TOT_HC,IT	: 	2294.47 	2232.11 	2221.70 	2262.05 	2317.49 	2377.12 	2437.91 	2528.87 b	2624.17 	2791.09 	2878.10 p
A,PPS_HAB,TOT_HC,LT	1127.85 	1171.28 	1219.57 	1303.43 	1403.91 	1484.93 	1570.83 	1671.46 	1909.58 	2020.87 	2310.99 	: 
A,PPS_HAB,TOT_HC,LU	3669.38 	3305.06 b	3401.18 	3443.56 	3436.22 	3451.69 	3512.82 	3690.53 	3740.12 	3833.24 	4179.87 	4259.73 p
A,PPS_HAB,TOT_HC,LV	: 	: 	902.02 	941.16 	1028.65 	1142.32 	1180.37 	1297.78 	1436.05 	1557.69 	2112.53 	: 
A,PPS_HAB,TOT_HC,MT	: 	: 	: 	2180.40 	2354.75 	2443.13 	2572.91 	2630.48 	2956.37 	3054.79 p	3428.74 p	: 
A,PPS_HAB,TOT_HC,NL	3469.48 	3572.35 	3611.86 	3610.02 	3608.17 	3607.07 	3699.22 	3823.16 	3931.54 	4266.39 	4567.38 	: 
A,PPS_HAB,TOT_HC,NO	3771.67 	3891.49 	4024.11 	4175.37 	4193.87 	4179.27 	4389.67 	4529.46 	4596.49 	4682.20 	4955.20 	: 
A,PPS_HAB,TOT_HC,PL	: 	: 	1225.58 	1234.21 	1320.02 	1379.14 	1452.38 	1469.12 	1591.39 	1609.60 p	1732.00 p	2036.18 p
A,PPS_HAB,TOT_HC,PT	1866.77 	1808.35 	1836.90 	1856.44 	1930.05 	1992.71 	2046.41 	2185.65 	2283.18 	2330.79 	2628.41 	2772.14 p
A,PPS_HAB,TOT_HC,RO	632.95 	664.45 	759.25 	766.54 	796.26 	885.49 	995.50 	1157.16 	1310.96 	1440.80 	1661.95 	: 
A,PPS_HAB,TOT_HC,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1466.43 	: 
A,PPS_HAB,TOT_HC,SE	3387.55 	3495.65 	3471.08 	3559.48 	3664.59 	3629.53 	3675.03 	3779.23 	3830.29 	3919.63 	4198.11 	4297.44 p
A,PPS_HAB,TOT_HC,SI	: 	: 	: 	1828.29 	1888.83 	1938.23 	1994.49 	2123.56 	2286.04 	2437.25 	2668.26 	2748.98 p
A,PPS_HAB,TOT_HC,SK	: 	1566.74 	1579.82 	1470.55 	1507.92 	1443.73 	1390.24 	1401.00 	1518.84 	1514.24 	1742.36 	: 
A,PPS_HAB,TOT_HC,UK	: 	: 	2706.55 	2764.75 	2805.77 	2825.13 	2883.22 	2950.09 	3061.96 	: 	: 	: 
